Unnamed: 0,loan_status,Principal,terms,effective_date,due_date,age,education,Gender
0,PAIDOFF,1000,30,9/8/2016,10/7/2016,45,High School or Below,male
2,PAIDOFF,1000,30,9/8/2016,10/7/2016,33,Bechalor,female
3,PAIDOFF,1000,15,9/8/2016,9/22/2016,27,college,male
4,PAIDOFF,1000,30,9/9/2016,10/8/2016,28,college,female
6,PAIDOFF,1000,30,9/9/2016,10/8/2016,29,college,male
7,PAIDOFF,1000,30,9/9/2016,10/8/2016,36,college,male
8,PAIDOFF,1000,30,9/9/2016,10/8/2016,28,college,male
9,PAIDOFF,800,15,9/10/2016,9/24/2016,26,college,male
10,PAIDOFF,300,7,9/10/2016,9/16/2016,29,college,male
11,PAIDOFF,1000,15,9/10/2016,10/9/2016,39,High School or Below,male
12,PAIDOFF,1000,30,9/10/2016,10/9/2016,26,college,male
13,PAIDOFF,900,7,9/10/2016,9/16/2016,26,college,female
14,PAIDOFF,1000,7,9/10/2016,9/16/2016,27,High School or Below,male
15,PAIDOFF,800,15,9/10/2016,9/24/2016,26,college,male
16,PAIDOFF,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
17,PAIDOFF,1000,15,9/10/2016,9/24/2016,32,High School or Below,male
18,PAIDOFF,1000,30,9/10/2016,10/9/2016,32,High School or Below,male
19,PAIDOFF,800,30,9/10/2016,10/9/2016,26,college,male
20,PAIDOFF,1000,30,9/10/2016,10/9/2016,26,college,male
22,PAIDOFF,1000,30,9/10/2016,10/9/2016,25,High School or Below,male
23,PAIDOFF,1000,15,9/10/2016,9/24/2016,26,college,male
25,PAIDOFF,1000,30,9/10/2016,10/9/2016,29,High School or Below,male
26,PAIDOFF,800,15,9/10/2016,9/24/2016,39,Bechalor,male
27,PAIDOFF,1000,15,9/10/2016,9/24/2016,34,Bechalor,male
28,PAIDOFF,1000,30,9/11/2016,10/10/2016,31,college,male
29,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
30,PAIDOFF,800,15,9/11/2016,9/25/2016,33,High School or Below,male
31,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,college,male
32,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,male
33,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,college,male
34,PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,male
36,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
39,PAIDOFF,1000,30,9/11/2016,10/10/2016,21,Bechalor,male
40,PAIDOFF,1000,15,9/11/2016,9/25/2016,32,college,female
41,PAIDOFF,800,15,9/11/2016,9/25/2016,30,college,male
42,PAIDOFF,1000,7,9/11/2016,9/24/2016,31,Bechalor,male
43,PAIDOFF,1000,15,9/11/2016,9/25/2016,30,college,male
44,PAIDOFF,1000,15,9/11/2016,9/25/2016,24,Bechalor,female
45,PAIDOFF,800,7,9/11/2016,9/17/2016,35,High School or Below,male
46,PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
47,PAIDOFF,1000,30,9/11/2016,10/10/2016,32,college,male
49,PAIDOFF,800,15,9/11/2016,9/25/2016,50,High School or Below,male
51,PAIDOFF,1000,30,9/11/2016,10/10/2016,35,Bechalor,female
52,PAIDOFF,800,15,9/11/2016,9/25/2016,35,Bechalor,female
53,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
54,PAIDOFF,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
55,PAIDOFF,1000,15,9/11/2016,9/25/2016,25,college,male
56,PAIDOFF,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
57,PAIDOFF,1000,30,9/11/2016,10/10/2016,26,Bechalor,male
58,PAIDOFF,800,15,9/11/2016,9/25/2016,44,High School or Below,female
59,PAIDOFF,800,15,9/11/2016,9/25/2016,39,Master or Above,male
60,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,Bechalor,male
62,PAIDOFF,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
63,PAIDOFF,1000,30,9/11/2016,10/10/2016,45,college,male
65,PAIDOFF,900,15,9/11/2016,9/25/2016,28,college,male
66,PAIDOFF,1000,30,9/11/2016,10/10/2016,28,Bechalor,male
67,PAIDOFF,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
69,PAIDOFF,1000,30,9/11/2016,10/10/2016,43,Bechalor,male
70,PAIDOFF,800,15,9/11/2016,9/25/2016,29,college,male
71,PAIDOFF,800,15,9/11/2016,9/25/2016,29,High School or Below,male
72,PAIDOFF,1000,30,9/11/2016,10/10/2016,33,Bechalor,female
